URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
6980,Primorye Sediments and Tuff-sediments,628,-44.2,-174.3,circle,3.2638,0,444,416,black,byPlateId,0.773333333
6981,Hanxia and Zhaohuajing Groups,604,60.1,339,circle,3.1721,0,444,416,black,byPlateId,0.757777778
6981,Hanxia and Zhaohuajing Groups,604,-60.1,159,circle,3.1721,0,444,416,black,byPlateId,0.757777778
6982,Tarim sediments,5012,12.1,158.4,circle,3.5389,0,444,416,black,byPlateId,0.82
6982,Tarim sediments,5012,-12.1,-21.6,circle,3.5389,0,444,416,black,byPlateId,0.82
6983,Sediments; Sichuan and Yunnan,611,4.9,194.7,circle,3.814,0,444,417,black,byPlateId,0.866666667
6983,Sediments; Sichuan and Yunnan,611,-4.9,14.7,circle,3.814,0,444,417,black,byPlateId,0.866666667
6984,Llandovery traps; Tortworth Inlier,315,9,287,circle,2.766,0,433,428,black,byPlateId,0.688888889
6984,Llandovery traps; Tortworth Inlier,315,-9,107,circle,2.766,0,433,428,black,byPlateId,0.688888889
6985,Intrusions and Baked Sediments,402,-26,16,circle,3.683,0,444,417,black,byPlateId,0.844444444
6985,Intrusions and Baked Sediments,402,26,-164,circle,3.683,0,444,417,black,byPlateId,0.844444444
6986,Alaysky Sediments,402,13,340,circle,2.766,0,444,417,black,byPlateId,0.688888889
6986,Alaysky Sediments,402,-13,160,circle,2.766,0,444,417,black,byPlateId,0.688888889
6987,Lavas of ophiolitic association,402,18,354,circle,3.29,0,444,417,black,byPlateId,0.777777778
6987,Lavas of ophiolitic association,402,-18,174,circle,3.29,0,444,417,black,byPlateId,0.777777778
6988,King George IV Volcanics and Redbeds,108,35.9,84.6,circle,3.1197,0,436,426,black,byPlateId,0.748888889
6988,King George IV Volcanics and Redbeds,108,-35.9,-95.4,circle,3.1197,0,436,426,black,byPlateId,0.748888889
